author,sentence,response,response_round,subtype,type,lexicalization,condition,agreement,conjunction
Davidjuk_2023_3,"Или я, или Егор прочитает эту вводную лекцию.",5.0,5.0,coordination,stimul,6,"3sg, or_or",3sg,or_or
Davidjuk_2023_3,Я или Гена раскроет это подлое преступление.,4.2,4.0,coordination,stimul,23,"3sg, or",3sg,or
Davidjuk_2023_3,Андрей наденет эту тёплую куртку.,6.2625,6.0,good,filler,33,good,,
Davidjuk_2023_3,"Или я, или Дима послушаю это голосовое сообщение.",3.5,4.0,coordination,stimul,5,"1sg, or_or",1sg,or_or
Davidjuk_2023_3,Я или Илья выполнит это срочное задание.,4.3,4.0,coordination,stimul,7,"3sg, or",3sg,or
Davidjuk_2023_3,"Или я, или Вадим соберут этот нужный материал.",3.3,3.0,coordination,stimul,9,"3pl, or_or",3pl,or_or
Davidjuk_2023_3,"Или я, или Егор прочитаю эту вводную лекцию.",2.1,2.0,coordination,stimul,6,"1sg, or_or",1sg,or_or
Davidjuk_2023_3,Я или Егор прочитаем эту вводную лекцию.,5.2,5.0,coordination,stimul,6,"1pl, or",1pl,or
Davidjuk_2023_3,"Или я, или Митя составит этот длинный список.",3.3,3.0,coordination,stimul,29,"3sg, or_or",3sg,or_or
Davidjuk_2023_3,Я или Лёва произнесёт эту торжественную речь.,3.6,4.0,coordination,stimul,30,"3sg, or",3sg,or
Davidjuk_2023_3,Я или Олег подпишу это деловое соглашение.,3.5,4.0,coordination,stimul,17,"1sg, or",1sg,or
Davidjuk_2023_3,"Или я, или Гоша начнут этот непростой разговор.",3.4,3.0,coordination,stimul,28,"3pl, or_or",3pl,or_or
Davidjuk_2023_3,"Или я, или Федя выиграем этот теннисный турнир.",4.2,4.0,coordination,stimul,26,"1pl, or_or",1pl,or_or
Davidjuk_2023_3,Миша или Федя поймаем эту крупную рыбу.,2.7088607594936707,3.0,bad,filler,33,bad,,
Davidjuk_2023_3,"Или я, или Кирилл прополем эту капустную грядку.",4.7,5.0,coordination,stimul,10,"1pl, or_or",1pl,or_or
Davidjuk_2023_3,Я или Никита побелим этот высокий потолок.,6.2,6.0,coordination,stimul,20,"1pl, or",1pl,or
Davidjuk_2023_3,"Или я, или Боря закончим эту шахматную партию.",4.3,4.0,coordination,stimul,27,"1pl, or_or",1pl,or_or
Davidjuk_2023_3,Я или Паша посетим этот научный семинар.,6.111111111111111,6.0,coordination,stimul,16,"1pl, or",1pl,or
Davidjuk_2023_3,Я или Слава купит эту известную картину.,3.1,3.0,coordination,stimul,19,"3sg, or",3sg,or
Davidjuk_2023_3,"Или я, или Максим приобретёт этот старинный дом.",3.2,3.0,coordination,stimul,22,"3sg, or_or",3sg,or_or
Davidjuk_2023_3,Дима или Ваня протрём эту грязную полку.,2.6202531645569622,3.0,bad,filler,33,bad,,
Davidjuk_2023_3,"Или я, или Никита внесу этот небольшой аванс.",3.3,3.0,coordination,stimul,14,"1sg, or_or",1sg,or_or
Davidjuk_2023_3,"Или я, или Стёпа исполнит эту оперную арию.",2.7,3.0,coordination,stimul,4,"3sg, or_or",3sg,or_or
Davidjuk_2023_3,Яша запишет этот почтовую адрес.,2.925,3.0,bad,filler,33,bad,,
Davidjuk_2023_3,"Или я, или Максим приобретут этот старинный дом.",3.7,4.0,coordination,stimul,22,"3pl, or_or",3pl,or_or
Davidjuk_2023_3,Я или Юра устрою этот детский праздник.,4.2,4.0,coordination,stimul,12,"1sg, or",1sg,or
Davidjuk_2023_3,Я или Ваня отправим это заказное письмо.,4.9,5.0,coordination,stimul,18,"1pl, or",1pl,or
Davidjuk_2023_3,Я или Вася проведёт это экстренное совещание.,3.3,3.0,coordination,stimul,1,"3sg, or",3sg,or
