author,sentence,response,response_round,subtype,type,lexicalization,condition,agreement,conjunction
Davidjuk_2023_1,"И я, и Денис пропустит финальный матч.",3.0,3.0,coordination,stimul,12,"3sg, and_and",3sg,and_and
Davidjuk_2023_1,Я и Володя приобретут ценный опыт.,3.1,3.0,coordination,stimul,16,"3pl, and",3pl,and
Davidjuk_2023_1,Андрей и Федя поймаем крупную рыбу.,2.576923076923077,3.0,bad,filler,33,bad,,
Davidjuk_2023_1,"И я, и Данила найдём верный ответ.",5.444444444444445,5.0,coordination,stimul,20,"1pl, and_and",1pl,and_and
Davidjuk_2023_1,Я и Егор прочитает вводную лекцию.,2.1,2.0,coordination,stimul,18,"3sg, and",3sg,and
Davidjuk_2023_1,"И я, и Вадим соберут нужный материал.",2.7,3.0,coordination,stimul,23,"3pl, and_and",3pl,and_and
Davidjuk_2023_1,"И я, и Денис пропустят финальный матч.",2.4,2.0,coordination,stimul,12,"3pl, and_and",3pl,and_and
Davidjuk_2023_1,Я и Денис пропустим финальный матч.,4.6,5.0,coordination,stimul,12,"1pl, and",1pl,and
Davidjuk_2023_1,"И я, и Максим прогуляет последний урок.",2.1,2.0,coordination,stimul,32,"3sg, and_and",3sg,and_and
Davidjuk_2023_1,Я и Кирилл прополют капустную грядку.,2.5,2.0,coordination,stimul,24,"3pl, and",3pl,and
Davidjuk_2023_1,Я и Никита попросят дополнительный отгул.,3.4,3.0,coordination,stimul,10,"3pl, and",3pl,and
Davidjuk_2023_1,"И я, и Гена продолжим заочное обучение.",5.1,5.0,coordination,stimul,15,"1pl, and_and",1pl,and_and
Davidjuk_2023_1,"И я, и Федя разработаем детальный план.",5.1,5.0,coordination,stimul,27,"1pl, and_and",1pl,and_and
Davidjuk_2023_1,Максим продаст шкаф и кровать.,6.371794871794871,6.0,good,filler,33,good,,
Davidjuk_2023_1,"И я, и Игорь совершат далёкое путешествие.",2.4,2.0,coordination,stimul,28,"3pl, and_and",3pl,and_and
Davidjuk_2023_1,Я и Никита внесу небольшой аванс.,3.0,3.0,coordination,stimul,31,"1sg, and",1sg,and
Davidjuk_2023_1,"И я, и Боря подготовит промежуточный отчёт.",2.5,2.0,coordination,stimul,21,"3sg, and_and",3sg,and_and
Davidjuk_2023_1,Я и Олег уточним необходимую информацию.,4.7,5.0,coordination,stimul,14,"1pl, and",1pl,and
