author,sentence,response,response_round,subtype,type,lexicalization,condition,agreement,conjunction
Davidjuk_2023_2,Денис и я пропустит финальный матч.,3.0,3.0,coordination,stimul,12,"3sg, and",3sg,and
Davidjuk_2023_2,"И Паша, и я посетит исторический музей.",2.5,2.0,coordination,stimul,11,"3sg, and_and",3sg,and_and
Davidjuk_2023_2,Андрей и Федя поймаем крупную рыбу.,2.576923076923077,3.0,bad,filler,33,bad,,
Davidjuk_2023_2,Данила и я найдём верный ответ.,5.2,5.0,coordination,stimul,20,"1pl, and",1pl,and
Davidjuk_2023_2,"И Яша, и я приготовит вкусный обед.",2.8,3.0,coordination,stimul,30,"3sg, and_and",3sg,and_and
Davidjuk_2023_2,Вадим и я соберут нужный материал.,1.8,2.0,coordination,stimul,23,"3pl, and",3pl,and
Davidjuk_2023_2,Денис и я пропустят финальный матч.,3.1,3.0,coordination,stimul,12,"3pl, and",3pl,and
Davidjuk_2023_2,"И Федя, и я разработаем детальный план.",5.4,5.0,coordination,stimul,27,"1pl, and_and",1pl,and_and
Davidjuk_2023_2,"И Влад, и я покажет короткую дорогу.",2.2,2.0,coordination,stimul,13,"3sg, and_and",3sg,and_and
Davidjuk_2023_2,Кирилл и я прополют капустную грядку.,2.9,3.0,coordination,stimul,24,"3pl, and",3pl,and
Davidjuk_2023_2,Никита и я попросят дополнительный отгул.,3.6,4.0,coordination,stimul,10,"3pl, and",3pl,and
Davidjuk_2023_2,Гена и я продолжим заочное обучение.,5.7,6.0,coordination,stimul,15,"1pl, and",1pl,and
Davidjuk_2023_2,"И Илья, и я выполним срочное поручение.",4.7,5.0,coordination,stimul,19,"1pl, and_and",1pl,and_and
Davidjuk_2023_2,Максим продаст шкаф и кровать.,6.371794871794871,6.0,good,filler,33,good,,
Davidjuk_2023_2,"И Андрей, и я увидим кукольный спектакль.",5.7,6.0,coordination,stimul,4,"1pl, and_and",1pl,and_and
Davidjuk_2023_2,Никита и я внесу небольшой аванс.,2.2,2.0,coordination,stimul,31,"1sg, and",1sg,and
Davidjuk_2023_2,Боря и я подготовит промежуточный отчёт.,2.1,2.0,coordination,stimul,21,"3sg, and",3sg,and
Davidjuk_2023_2,Олег и я уточним необходимую информацию.,5.4,5.0,coordination,stimul,14,"1pl, and",1pl,and
Davidjuk_2023_2,Слава и я получим двойную зарплату.,4.1,4.0,coordination,stimul,5,"1pl, and",1pl,and
Davidjuk_2023_2,"И Вася, и я посмотрят документальный фильм.",3.3,3.0,coordination,stimul,2,"3pl, and_and",3pl,and_and
Davidjuk_2023_2,Гриша сварит овсяную кашу.,6.512820512820513,7.0,good,filler,33,good,,
Davidjuk_2023_2,"И Володя, и я приобрету ценный опыт.",3.1,3.0,coordination,stimul,16,"1sg, and_and",1sg,and_and
Davidjuk_2023_2,"И Игорь, и я совершим далёкое путешествие.",6.0,6.0,coordination,stimul,28,"1pl, and_and",1pl,and_and
Davidjuk_2023_2,Федя выразит всеобщие недовольство.,3.6962025316455698,4.0,bad,filler,33,bad,,
Davidjuk_2023_2,"И Вася, и я посмотрит документальный фильм.",3.7,4.0,coordination,stimul,2,"3sg, and_and",3sg,and_and
Davidjuk_2023_2,Юра и я устрою детский праздник.,1.7,2.0,coordination,stimul,26,"1sg, and",1sg,and
Davidjuk_2023_2,"И Миша, и я сдадим вступительный экзамен.",4.7,5.0,coordination,stimul,8,"1pl, and_and",1pl,and_and
Davidjuk_2023_2,"И Никита, и я внесёт небольшой аванс.",2.6,3.0,coordination,stimul,31,"3sg, and_and",3sg,and_and
Davidjuk_2023_2,"И Егор, и я прочитают вводную лекцию.",3.8,4.0,coordination,stimul,18,"3pl, and_and",3pl,and_and
Davidjuk_2023_2,"И Боря, и я подготовим промежуточный отчёт.",5.0,5.0,coordination,stimul,21,"1pl, and_and",1pl,and_and
Davidjuk_2023_2,"И Денис, и я пропустит финальный матч.",2.1,2.0,coordination,stimul,12,"3sg, and_and",3sg,and_and
Davidjuk_2023_2,Игорь и я совершим далёкое путешествие.,5.0,5.0,coordination,stimul,28,"1pl, and",1pl,and
Davidjuk_2023_2,"И Олег, и я уточню необходимую информацию.",1.9,2.0,coordination,stimul,14,"1sg, and_and",1sg,and_and
Davidjuk_2023_2,Слава и я получат двойную зарплату.,3.8,4.0,coordination,stimul,5,"3pl, and",3pl,and
Davidjuk_2023_2,"И Яша, и я приготовят вкусный обед.",3.7,4.0,coordination,stimul,30,"3pl, and_and",3pl,and_and
Davidjuk_2023_2,"И Стёпа, и я попробуем яблочный пирог.",3.5,4.0,coordination,stimul,9,"1pl, and_and",1pl,and_and
Davidjuk_2023_2,Паша и я посещу исторический музей.,2.9,3.0,coordination,stimul,11,"1sg, and",1sg,and
Davidjuk_2023_2,"И Миша, и я сдаст вступительный экзамен.",2.2,2.0,coordination,stimul,8,"3sg, and_and",3sg,and_and
