author,sentence,response,response_round,subtype,type,lexicalization,condition,pronoun,strategy,verb
Belova_2023_1,Мы все приберёмся в старых кладовках.,5.454545454545454,5.0,quantifier,stimul,47.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Пятеро из нас побеседуем с очевидцами аварии.,3.5,4.0,quantifier,stimul,34.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Мы все побеседуют с очевидцами аварии.,1.5,2.0,quantifier,stimul,34.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_1,Мы двое порыбачат в лесных озёрах.,1.25,1.0,quantifier,stimul,31.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_1,Они четверо извинится за допущенные ошибки.,2.0,2.0,quantifier,stimul,45.0,"they, nom, 3sg",they,nom,3sg
Belova_2023_1,Только двое из выпускники пойдут в магистратура.,2.09375,2.0,bad,filler,,bad,,,
Belova_2023_1,Мы все искупаемся в крещенской проруби.,5.0,5.0,quantifier,stimul,4.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Пятеро из них побеседуют с очевидцами аварии.,6.5,6.0,quantifier,stimul,34.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_1,Мы пятеро прикрепятся к новым поликлиникам.,1.4,1.0,quantifier,stimul,40.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_1,Пятеро из нас искупаемся в крещенской проруби.,3.0,3.0,quantifier,stimul,4.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Все из нас приберёмся в старых кладовках.,1.7777777777777777,2.0,quantifier,stimul,47.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Мы все позаботятся о нужных продуктах.,2.272727272727273,2.0,quantifier,stimul,30.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_1,Они все перезвонят по незнакомым номерам.,6.0,6.0,quantifier,stimul,22.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_1,Четверо из мальчик смастерят кормушкой для птиц.,1.5876288659793814,2.0,bad,filler,,bad,,,
Belova_2023_1,Мы все разберутся со сломанными телефонами.,1.6,2.0,quantifier,stimul,9.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_1,Они все выступят на студенческих конференциях.,6.75,7.0,quantifier,stimul,21.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_1,Мы пятеро пойдут на курсы вождения.,2.75,3.0,quantifier,stimul,46.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_1,Все из них ответят за поломанные инструменты.,3.888888888888889,4.0,quantifier,stimul,35.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_1,Мы четверо отправимся в байдарочные походы.,4.5,4.0,quantifier,stimul,27.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Они трое согласятся на предложения конкурентов.,4.2727272727272725,4.0,quantifier,stimul,14.0,"they, nom, 3pl",they,nom,3pl
Belova_2023_1,Все из них справятся с заменой лампочек.,5.333333333333333,5.0,quantifier,stimul,11.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_1,Все из нас придут на пятничную вечеринку.,5.5,6.0,quantifier,stimul,1.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_1,Мы трое вложится в перспективные акции.,2.75,3.0,quantifier,stimul,44.0,"we, nom, 3sg",we,nom,3sg
Belova_2023_1,Мы трое отметимся на проходной завода.,5.375,5.0,quantifier,stimul,38.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Все из нас переночуем в больших палатках.,1.5,2.0,quantifier,stimul,19.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Все из нас отметятся на проходной завода.,3.333333333333333,3.0,quantifier,stimul,38.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_1,Шестеро из нас поступим в столичные вузы.,2.0,2.0,quantifier,stimul,17.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Мы все отдохнут на южных курортах.,3.090909090909091,3.0,quantifier,stimul,24.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_1,Мы все отдохнём на южных курортах.,6.5,6.0,quantifier,stimul,24.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Все из нас разберёмся со сломанными телефонами.,2.25,2.0,quantifier,stimul,9.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Трое из нас покатаемся на двугорбых верблюдах.,2.75,3.0,quantifier,stimul,26.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Семеро из них поучаствуют в социальных опросах.,5.4,5.0,quantifier,stimul,48.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_1,Трое из них опубликуются в научных журналах.,6.090909090909091,6.0,quantifier,stimul,2.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_1,Шестеро из нас вмешается в важные переговоры.,2.333333333333333,2.0,quantifier,stimul,29.0,"we, elect, 3sg",we,elect,3sg
Belova_2023_1,Четверо из нас сядем за первые парты.,4.666666666666667,5.0,quantifier,stimul,39.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Все из нас остановимся в дешёвых хостелах.,1.6666666666666667,2.0,quantifier,stimul,7.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Мы трое вложимся в перспективные акции.,5.333333333333333,5.0,quantifier,stimul,44.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Мы четверо сядет за первые парты.,1.75,2.0,quantifier,stimul,39.0,"we, nom, 3sg",we,nom,3sg
Belova_2023_1,Все из нас поучаствуем в социальных опросах.,2.5,2.0,quantifier,stimul,48.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Мы все женимся в течение месяца.,6.25,6.0,quantifier,stimul,16.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Все из нас приберутся в старых кладовках.,2.75,3.0,quantifier,stimul,47.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_1,Они семеро поучаствует в социальных опросах.,3.3,3.0,quantifier,stimul,48.0,"they, nom, 3sg",they,nom,3sg
Belova_2023_1,Мы двое придём на пятничную вечеринку.,3.6666666666666665,4.0,quantifier,stimul,1.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Все из них согласятся на предложения конкурентов.,4.25,4.0,quantifier,stimul,14.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_1,Семеро из них объявит о скорых отставках.,1.5,2.0,quantifier,stimul,36.0,"they, elect, 3sg",they,elect,3sg
Belova_2023_1,Мы все отметятся на проходной завода.,1.75,2.0,quantifier,stimul,38.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_1,Они трое согласится на предложения конкурентов.,2.0,2.0,quantifier,stimul,14.0,"they, nom, 3sg",they,nom,3sg
Belova_2023_1,Четверо из нас познакомится с артистами спектакля.,3.8,4.0,quantifier,stimul,33.0,"we, elect, 3sg",we,elect,3sg
Belova_2023_1,Они четверо познакомится с артистами спектакля.,2.75,3.0,quantifier,stimul,33.0,"they, nom, 3sg",they,nom,3sg
Belova_2023_1,Пятеро из нас искупается в крещенской проруби.,3.333333333333333,3.0,quantifier,stimul,4.0,"we, elect, 3sg",we,elect,3sg
Belova_2023_1,Мы семеро отдохнём на южных курортах.,5.5,6.0,quantifier,stimul,24.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Семеро из них отдохнёт на южных курортах.,3.4,3.0,quantifier,stimul,24.0,"they, elect, 3sg",they,elect,3sg
Belova_2023_1,Четверо из нас разберёмся со сломанными телефонами.,3.75,4.0,quantifier,stimul,9.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Шестеро из нас вмешаемся в важные переговоры.,4.25,4.0,quantifier,stimul,29.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Мы пятеро женимся в течение месяца.,6.0,6.0,quantifier,stimul,16.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Мы шестеро подметём в учебных кабинетах.,3.5,4.0,quantifier,stimul,41.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Они четверо сядут за первые парты.,3.111111111111111,3.0,quantifier,stimul,39.0,"they, nom, 3pl",they,nom,3pl
Belova_2023_1,Все из нас созвонятся с поставщиками продуктов.,4.5,4.0,quantifier,stimul,10.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_1,Они пятеро женятся в течение месяца.,2.8,3.0,quantifier,stimul,16.0,"they, nom, 3pl",they,nom,3pl
Belova_2023_1,Пятеро из нас пойдёт на курсы вождения.,2.1666666666666665,2.0,quantifier,stimul,46.0,"we, elect, 3sg",we,elect,3sg
Belova_2023_1,Мы семеро возьмёмся за новые проекты.,2.375,2.0,quantifier,stimul,42.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Семеро из нас возьмутся за новые проекты.,6.375,6.0,quantifier,stimul,42.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_1,Все из них позаботятся о нужных продуктах.,3.75,4.0,quantifier,stimul,30.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_1,Двое из них победят на конкурсе чтецов.,5.8,6.0,quantifier,stimul,37.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_1,Шестеро из нас рассчитаемся с кредитными долгами.,3.0,3.0,quantifier,stimul,23.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Двое из них остановятся в дешёвых хостелах.,5.0,5.0,quantifier,stimul,7.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_1,Мы двое переночует в больших палатках.,3.5,4.0,quantifier,stimul,19.0,"we, nom, 3sg",we,nom,3sg
Belova_2023_1,Все из нас позаботимся о нужных продуктах.,1.6,2.0,quantifier,stimul,30.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Все из нас уволятся с нынешних позиций.,6.25,6.0,quantifier,stimul,18.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_1,Двое из нас порыбачим в лесных озёрах.,1.6666666666666667,2.0,quantifier,stimul,31.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Трое из них вложатся в перспективные акции.,5.777777777777778,6.0,quantifier,stimul,44.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_1,Они пятеро пойдут на курсы вождения.,5.181818181818182,5.0,quantifier,stimul,46.0,"they, nom, 3pl",they,nom,3pl
Belova_2023_1,Пятеро из них перезвонят по незнакомым номерам.,5.8,6.0,quantifier,stimul,22.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_1,Четверо врачи соберётся на консилиум.,1.7448979591836735,2.0,bad,filler,,bad,,,
Belova_2023_1,Все из нас отчитаемся за выполненные задачи.,3.25,3.0,quantifier,stimul,43.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Все из нас отправимся в байдарочные походы.,1.5,2.0,quantifier,stimul,27.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Пятеро из них пойдёт на курсы вождения.,2.333333333333333,2.0,quantifier,stimul,46.0,"they, elect, 3sg",they,elect,3sg
Belova_2023_1,Мы все сядут за первые парты.,1.25,1.0,quantifier,stimul,39.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_1,Мы семеро запишемся в спортивные секции.,4.666666666666667,5.0,quantifier,stimul,12.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Мы четверо извинится за допущенные ошибки.,1.75,2.0,quantifier,stimul,45.0,"we, nom, 3sg",we,nom,3sg
Belova_2023_1,Мы все отметимся на проходной завода.,5.4,5.0,quantifier,stimul,38.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Они все опубликуются в научных журналах.,4.6,5.0,quantifier,stimul,2.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_1,Они все справятся с заменой лампочек.,5.0,5.0,quantifier,stimul,11.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_1,Все из нас прикрепятся к новым поликлиникам.,6.2,6.0,quantifier,stimul,40.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_1,Все из нас разберутся со сломанными телефонами.,4.25,4.0,quantifier,stimul,9.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_1,Они пятеро побеседуют с очевидцами аварии.,4.0,4.0,quantifier,stimul,34.0,"they, nom, 3pl",they,nom,3pl
Belova_2023_1,Они трое вложится в перспективные акции.,1.25,1.0,quantifier,stimul,44.0,"they, nom, 3sg",they,nom,3sg
Belova_2023_1,Мы трое вложатся в перспективные акции.,1.6666666666666667,2.0,quantifier,stimul,44.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_1,Пятеро из них прикрепятся к новым поликлиникам.,5.5,6.0,quantifier,stimul,40.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_1,Трое из нас опубликуется в научных журналах.,4.166666666666667,4.0,quantifier,stimul,2.0,"they, elect, 3sg",they,elect,3sg
Belova_2023_1,Мы двое отчитаемся за выполненные задачи.,5.166666666666667,5.0,quantifier,stimul,43.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Они трое покатаются на двугорбых верблюдах.,4.0,4.0,quantifier,stimul,26.0,"they, nom, 3pl",they,nom,3pl
Belova_2023_1,Четверо из них выступит на студенческих конференциях.,3.111111111111111,3.0,quantifier,stimul,21.0,"they, elect, 3sg",they,elect,3sg
Belova_2023_1,Семеро из них объявят о скорых отставках.,6.0,6.0,quantifier,stimul,36.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_1,Мы трое переедут в соседние страны.,1.818181818181818,2.0,quantifier,stimul,32.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_1,Они двое сыграют на акустической гитаре.,4.0,4.0,quantifier,stimul,13.0,"they, nom, 3pl",they,nom,3pl
Belova_2023_1,Пятеро из нас присоединятся к поисковым отрядам.,6.5,6.0,quantifier,stimul,28.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_1,Они все поучаствуют в социальных опросах.,6.333333333333333,6.0,quantifier,stimul,48.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_1,Трое истцов потребуют денежной компенсации.,5.526315789473684,6.0,good,filler,,good,,,
Belova_2023_1,Мы все отправимся в байдарочные походы.,6.0,6.0,quantifier,stimul,27.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Шестеро из нас справится с заменой лампочек.,5.5,6.0,quantifier,stimul,11.0,"we, elect, 3sg",we,elect,3sg
Belova_2023_1,Все из нас пойдём на курсы вождения.,1.2,1.0,quantifier,stimul,46.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Шестеро из них справится с заменой лампочек.,3.111111111111111,3.0,quantifier,stimul,11.0,"they, elect, 3sg",they,elect,3sg
Belova_2023_1,Мы четверо сядем за первые парты.,4.636363636363637,5.0,quantifier,stimul,39.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Мы все рассчитаемся с кредитными долгами.,6.25,6.0,quantifier,stimul,23.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Они пятеро созвонятся с поставщиками продуктов.,3.8333333333333335,4.0,quantifier,stimul,10.0,"they, nom, 3pl",they,nom,3pl
Belova_2023_1,Все из них вернутся в гостиничные номера.,5.0,5.0,quantifier,stimul,15.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_1,Двое легкоатлетов будут сняты с соревнования.,5.791666666666667,6.0,good,filler,,good,,,
Belova_2023_1,Все из нас присоединятся к поисковым отрядам.,5.666666666666667,6.0,quantifier,stimul,28.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_1,Мы все остановимся в дешёвых хостелах.,6.25,6.0,quantifier,stimul,7.0,"we, nom, 1pl",we,nom,1pl
Belova_2023_1,Семеро из нас запишемся в спортивные секции.,2.8181818181818183,3.0,quantifier,stimul,12.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Вы с Ульяной сделают все домашнего задания.,1.625,2.0,bad,filler,,bad,,,
Belova_2023_1,Мы все отправятся в байдарочные походы.,1.4,1.0,quantifier,stimul,27.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_1,Трое из нас согласятся на предложения конкурентов.,5.555555555555555,6.0,quantifier,stimul,14.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_1,Они все извинятся за допущенные ошибки.,5.727272727272728,6.0,quantifier,stimul,45.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_1,Они все приедут на утренних поездах.,6.5,6.0,quantifier,stimul,5.0,"they, oni, 3pl",they,oni,3pl
Belova_2023_1,Все из нас согласятся на предложения конкурентов.,4.7,5.0,quantifier,stimul,14.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_1,Все из нас выступят на студенческих конференциях.,4.666666666666667,5.0,quantifier,stimul,21.0,"we, elect, 3pl",we,elect,3pl
Belova_2023_1,Шестеро из нас подметём в учебных кабинетах.,1.7,2.0,quantifier,stimul,41.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Все из них отдохнут на южных курортах.,4.0,4.0,quantifier,stimul,24.0,"they, elect, 3pl",they,elect,3pl
Belova_2023_1,Мы двое переночуют в больших палатках.,1.9,2.0,quantifier,stimul,19.0,"we, nom, 3pl",we,nom,3pl
Belova_2023_1,Трое из нас съездим в отдалённые деревни.,2.25,2.0,quantifier,stimul,20.0,"we, elect, 1pl",we,elect,1pl
Belova_2023_1,Вы с Андреем оплатите ремонт карбюратора.,6.11340206185567,6.0,good,filler,,good,,,
Belova_2023_1,Мы с друзьями отправят стихи в районной газеты.,1.7448979591836735,2.0,bad,filler,,bad,,,
Belova_2023_1,Они все побеседуют с очевидцами аварии.,5.333333333333333,5.0,quantifier,stimul,34.0,"they, oni, 3pl",they,oni,3pl
