sentence,response,group,filler_type,type,sentence_id,lexicalization,condition,quant,strategy,pronoun,verb,author,response_round
В байдарочные походы отправимся все из нас.,2.555555555555556,K,,stimul,427,27.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
В байдарочные походы отправимся мы все.,5.285714285714286,N,,stimul,430,27.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,5.0
В байдарочные походы отправимся мы четверо.,4.5,F,,stimul,422,27.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,4.0
В байдарочные походы отправимся четверо из нас.,2.4444444444444446,A,,stimul,417,27.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,2.0
В байдарочные походы отправится мы четверо.,1.625,H,,stimul,424,27.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
В байдарочные походы отправится они четверо.,1.7777777777777777,J,,stimul,426,27.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,2.0
В байдарочные походы отправится четверо из нас.,4.888888888888889,C,,stimul,419,27.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,5.0
В байдарочные походы отправится четверо из них.,3.7777777777777777,E,,stimul,421,27.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,4.0
В байдарочные походы отправятся все из нас.,3.6666666666666665,L,,stimul,428,27.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,4.0
В байдарочные походы отправятся все из них.,4.375,M,,stimul,429,27.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,4.0
В байдарочные походы отправятся мы все.,2.5,O,,stimul,431,27.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,2.0
В байдарочные походы отправятся мы четверо.,2.1,G,,stimul,423,27.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
В байдарочные походы отправятся они все.,4.666666666666667,P,,stimul,432,27.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,5.0
В байдарочные походы отправятся они четверо.,3.0,I,,stimul,425,27.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,3.0
В байдарочные походы отправятся четверо из нас.,5.444444444444445,B,,stimul,418,27.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,5.0
В байдарочные походы отправятся четверо из них.,6.0,D,,stimul,420,27.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,6.0
В больших палатках переночуем все из нас.,2.555555555555556,K,,stimul,299,19.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
В больших палатках переночуем двое из нас.,2.4444444444444446,A,,stimul,289,19.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,2.0
В больших палатках переночуем мы все.,3.625,N,,stimul,302,19.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,4.0
В больших палатках переночуем мы двое.,4.375,F,,stimul,294,19.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,4.0
В больших палатках переночует двое из нас.,5.444444444444445,C,,stimul,291,19.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,5.0
В больших палатках переночует двое из них.,3.888888888888889,E,,stimul,293,19.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,4.0
В больших палатках переночует мы двое.,1.875,H,,stimul,296,19.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
В больших палатках переночует они двое.,1.4444444444444444,J,,stimul,298,19.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,1.0
В больших палатках переночуют все из нас.,3.111111111111111,L,,stimul,300,19.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,3.0
В больших палатках переночуют все из них.,4.111111111111111,M,,stimul,301,19.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,4.0
В больших палатках переночуют двое из нас.,5.333333333333333,B,,stimul,290,19.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,5.0
В больших палатках переночуют двое из них.,5.555555555555555,D,,stimul,292,19.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,6.0
В больших палатках переночуют мы все.,2.625,O,,stimul,303,19.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,3.0
В больших палатках переночуют мы двое.,2.111111111111111,G,,stimul,295,19.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
В больших палатках переночуют они все.,4.5,P,,stimul,304,19.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,4.0
В больших палатках переночуют они двое.,3.25,I,,stimul,297,19.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,3.0
В важные переговоры вмешаемся все из нас.,2.333333333333333,K,,stimul,459,29.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,2.0
В важные переговоры вмешаемся мы все.,3.7142857142857135,N,,stimul,462,29.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,4.0
В важные переговоры вмешаемся мы шестеро.,4.0,F,,stimul,454,29.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,4.0
В важные переговоры вмешаемся шестеро из нас.,2.333333333333333,A,,stimul,449,29.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,2.0
В важные переговоры вмешается мы шестеро.,1.875,H,,stimul,456,29.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
В важные переговоры вмешается они шестеро.,1.6666666666666667,J,,stimul,458,29.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,2.0
В важные переговоры вмешается шестеро из нас.,4.777777777777778,C,,stimul,451,29.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,5.0
В важные переговоры вмешается шестеро из них.,2.888888888888889,E,,stimul,453,29.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,3.0
В важные переговоры вмешаются все из нас.,3.2222222222222223,L,,stimul,460,29.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,3.0
В важные переговоры вмешаются все из них.,3.6666666666666665,M,,stimul,461,29.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,4.0
В важные переговоры вмешаются мы все.,2.25,O,,stimul,463,29.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,2.0
В важные переговоры вмешаются мы шестеро.,1.8,G,,stimul,455,29.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
В важные переговоры вмешаются они все.,4.333333333333333,P,,stimul,464,29.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,4.0
В важные переговоры вмешаются они шестеро.,3.111111111111111,I,,stimul,457,29.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,3.0
В важные переговоры вмешаются шестеро из нас.,5.888888888888889,B,,stimul,450,29.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,6.0
В важные переговоры вмешаются шестеро из них.,5.555555555555555,D,,stimul,452,29.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,6.0
В гостиничные номера вернется мы четверо.,1.875,H,,stimul,232,15.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
В гостиничные номера вернутся все из нас.,4.333333333333333,L,,stimul,236,15.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,4.0
В гостиничные номера вернутся все из них.,3.888888888888889,M,,stimul,237,15.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,4.0
В гостиничные номера вернутся мы все.,2.625,O,,stimul,239,15.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,3.0
В гостиничные номера вернутся мы четверо.,2.1,G,,stimul,231,15.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
В гостиничные номера вернутся они все.,4.666666666666667,P,,stimul,240,15.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,5.0
В гостиничные номера вернутся они четверо.,3.333333333333333,I,,stimul,233,15.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,3.0
В гостиничные номера вернутся четверо из нас.,5.5,B,,stimul,226,15.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,6.0
В гостиничные номера вернутся четверо из них.,5.111111111111111,D,,stimul,228,15.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,5.0
В гостиничные номера вернёмся все из нас.,2.555555555555556,K,,stimul,235,15.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
В гостиничные номера вернёмся мы все.,4.625,N,,stimul,238,15.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,5.0
В гостиничные номера вернёмся мы четверо.,4.0,F,,stimul,230,15.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,4.0
В гостиничные номера вернёмся четверо из нас.,2.333333333333333,A,,stimul,225,15.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,2.0
В гостиничные номера вернётся они четверо.,1.5555555555555556,J,,stimul,234,15.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,2.0
В гостиничные номера вернётся четверо из нас.,4.888888888888889,C,,stimul,227,15.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,5.0
В гостиничные номера вернётся четверо из них.,3.111111111111111,E,,stimul,229,15.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,3.0
В дешёвых хостелах остановимся все из нас.,2.333333333333333,K,,stimul,107,7.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,2.0
В дешёвых хостелах остановимся двое из нас.,2.4444444444444446,A,,stimul,97,7.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,2.0
В дешёвых хостелах остановимся мы все.,3.125,N,,stimul,110,7.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,3.0
В дешёвых хостелах остановимся мы двое.,4.125,F,,stimul,102,7.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,4.0
В дешёвых хостелах остановится двое из нас.,4.333333333333333,C,,stimul,99,7.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,4.0
В дешёвых хостелах остановится двое из них.,4.0,E,,stimul,101,7.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,4.0
