sentence,response,group,sentence_id,lexicalization,conjunction,agreement,filler_type,type,response_round,condition
"И я, и Андрей увидим кукольный спектакль.",5.666666666666667,A,30,4,and_and,1pl,,stimul,6.0,"1pl, and_and"
"И я, и Андрей увидит кукольный спектакль.",1.9,B,31,4,and_and,3sg,,stimul,2.0,"3sg, and_and"
"И я, и Андрей увидят кукольный спектакль.",2.555555555555556,C,32,4,and_and,3pl,,stimul,3.0,"3pl, and_and"
"И я, и Андрей увижу кукольный спектакль.",3.3,H,29,4,and_and,1sg,,stimul,3.0,"1sg, and_and"
"И я, и Боря подготовим промежуточный отчёт.",4.0,B,166,21,and_and,1pl,,stimul,4.0,"1pl, and_and"
"И я, и Боря подготовит промежуточный отчёт.",2.5,C,167,21,and_and,3sg,,stimul,2.0,"3sg, and_and"
"И я, и Боря подготовлю промежуточный отчёт.",2.111111111111111,A,165,21,and_and,1sg,,stimul,2.0,"1sg, and_and"
"И я, и Боря подготовят промежуточный отчёт.",3.0,D,168,21,and_and,3pl,,stimul,3.0,"3pl, and_and"
"И я, и Вадим соберу нужный материал.",1.8,C,181,23,and_and,1sg,,stimul,2.0,"1sg, and_and"
"И я, и Вадим соберут нужный материал.",2.7,F,184,23,and_and,3pl,,stimul,3.0,"3pl, and_and"
"И я, и Вадим соберём нужный материал.",5.2,D,182,23,and_and,1pl,,stimul,5.0,"1pl, and_and"
"И я, и Вадим соберёт нужный материал.",2.888888888888889,E,183,23,and_and,3sg,,stimul,3.0,"3sg, and_and"
"И я, и Ваня возьму краткосрочный отпуск.",2.1,B,45,6,and_and,1sg,,stimul,2.0,"1sg, and_and"
"И я, и Ваня возьмут краткосрочный отпуск.",2.8,E,48,6,and_and,3pl,,stimul,3.0,"3pl, and_and"
"И я, и Ваня возьмём краткосрочный отпуск.",5.1,C,46,6,and_and,1pl,,stimul,5.0,"1pl, and_and"
"И я, и Ваня возьмёт краткосрочный отпуск.",2.1,D,47,6,and_and,3sg,,stimul,2.0,"3sg, and_and"
"И я, и Вася посмотрим документальный фильм.",4.5,G,14,2,and_and,1pl,,stimul,4.0,"1pl, and_and"
"И я, и Вася посмотрит документальный фильм.",2.6,H,15,2,and_and,3sg,,stimul,3.0,"3sg, and_and"
"И я, и Вася посмотрю документальный фильм.",2.2,F,13,2,and_and,1sg,,stimul,2.0,"1sg, and_and"
"И я, и Вася посмотрят документальный фильм.",3.25,A,16,2,and_and,3pl,,stimul,3.0,"3pl, and_and"
"И я, и Влад покажем короткую дорогу.",3.0,B,102,13,and_and,1pl,,stimul,3.0,"1pl, and_and"
"И я, и Влад покажет короткую дорогу.",2.2,C,103,13,and_and,3sg,,stimul,2.0,"3sg, and_and"
"И я, и Влад покажу короткую дорогу.",2.7777777777777777,A,101,13,and_and,1sg,,stimul,3.0,"1sg, and_and"
"И я, и Влад покажут короткую дорогу.",2.9,D,104,13,and_and,3pl,,stimul,3.0,"3pl, and_and"
"И я, и Вова спою весёлую песню.",2.0,C,53,7,and_and,1sg,,stimul,2.0,"1sg, and_and"
"И я, и Вова споют весёлую песню.",2.7,F,56,7,and_and,3pl,,stimul,3.0,"3pl, and_and"
"И я, и Вова споём весёлую песню.",4.5,D,54,7,and_and,1pl,,stimul,4.0,"1pl, and_and"
"И я, и Вова споёт весёлую песню.",2.9,E,55,7,and_and,3sg,,stimul,3.0,"3sg, and_and"
"И я, и Володя приобрету ценный опыт.",2.2,D,125,16,and_and,1sg,,stimul,2.0,"1sg, and_and"
"И я, и Володя приобретут ценный опыт.",3.0,G,128,16,and_and,3pl,,stimul,3.0,"3pl, and_and"
"И я, и Володя приобретём ценный опыт.",4.4,E,126,16,and_and,1pl,,stimul,4.0,"1pl, and_and"
"И я, и Володя приобретёт ценный опыт.",2.0,F,127,16,and_and,3sg,,stimul,2.0,"3sg, and_and"
"И я, и Гена продолжат заочное обучение.",2.9,F,120,15,and_and,3pl,,stimul,3.0,"3pl, and_and"
"И я, и Гена продолжим заочное обучение.",5.1,D,118,15,and_and,1pl,,stimul,5.0,"1pl, and_and"
"И я, и Гена продолжит заочное обучение.",2.6,E,119,15,and_and,3sg,,stimul,3.0,"3sg, and_and"
"И я, и Гена продолжу заочное обучение.",2.5,C,117,15,and_and,1sg,,stimul,2.0,"1sg, and_and"
"И я, и Гриша сыграем шахматную партию.",4.5,B,230,29,and_and,1pl,,stimul,4.0,"1pl, and_and"
"И я, и Гриша сыграет шахматную партию.",2.1,C,231,29,and_and,3sg,,stimul,2.0,"3sg, and_and"
