sentence,response,group,sentence_id,lexicalization,conjunction,agreement,filler_type,type,response_round,condition
"Или я, или Андрей увидим этот кукольный спектакль.",3.8,G,14,2,or_or,1pl,,stimul,4.0,"1pl, or_or"
"Или я, или Андрей увидит этот кукольный спектакль.",3.5,H,15,2,or_or,3sg,,stimul,4.0,"3sg, or_or"
"Или я, или Андрей увидят этот кукольный спектакль.",4.2,A,16,2,or_or,3pl,,stimul,4.0,"3pl, or_or"
"Или я, или Андрей увижу этот кукольный спектакль.",1.9,F,13,2,or_or,1sg,,stimul,2.0,"1sg, or_or"
"Или я, или Боря закончат эту шахматную партию.",2.5,B,216,27,or_or,3pl,,stimul,2.0,"3pl, or_or"
"Или я, или Боря закончим эту шахматную партию.",4.3,H,214,27,or_or,1pl,,stimul,4.0,"1pl, or_or"
"Или я, или Боря закончит эту шахматную партию.",3.8,A,215,27,or_or,3sg,,stimul,4.0,"3sg, or_or"
"Или я, или Боря закончу эту шахматную партию.",2.7,G,213,27,or_or,1sg,,stimul,3.0,"1sg, or_or"
"Или я, или Вадим соберу этот нужный материал.",2.9,E,69,9,or_or,1sg,,stimul,3.0,"1sg, or_or"
"Или я, или Вадим соберут этот нужный материал.",3.3,H,72,9,or_or,3pl,,stimul,3.0,"3pl, or_or"
"Или я, или Вадим соберём этот нужный материал.",4.1,F,70,9,or_or,1pl,,stimul,4.0,"1pl, or_or"
"Или я, или Вадим соберёт этот нужный материал.",3.5,G,71,9,or_or,3sg,,stimul,4.0,"3sg, or_or"
"Или я, или Ваня отправим это заказное письмо.",3.1,G,142,18,or_or,1pl,,stimul,3.0,"1pl, or_or"
"Или я, или Ваня отправит это заказное письмо.",4.1,H,143,18,or_or,3sg,,stimul,4.0,"3sg, or_or"
"Или я, или Ваня отправлю это заказное письмо.",2.3,F,141,18,or_or,1sg,,stimul,2.0,"1sg, or_or"
"Или я, или Ваня отправят это заказное письмо.",3.7777777777777777,A,144,18,or_or,3pl,,stimul,4.0,"3pl, or_or"
"Или я, или Вася проведу это экстренное совещание.",3.2,E,5,1,or_or,1sg,,stimul,3.0,"1sg, or_or"
