sentence,response,group,sentence_id,lexicalization,conjunction,agreement,filler_type,type,response_round,condition
Андрей или я увидим этот кукольный спектакль.,4.3,C,10,2,or,1pl,,stimul,4.0,"1pl, or"
Андрей или я увидит этот кукольный спектакль.,3.0,D,11,2,or,3sg,,stimul,3.0,"3sg, or"
Андрей или я увидят этот кукольный спектакль.,3.4,E,12,2,or,3pl,,stimul,3.0,"3pl, or"
Андрей или я увижу этот кукольный спектакль.,3.2,B,9,2,or,1sg,,stimul,3.0,"1sg, or"
Боря или я закончат эту шахматную партию.,2.8181818181818183,F,212,27,or,3pl,,stimul,3.0,"3pl, or"
Боря или я закончим эту шахматную партию.,5.2,D,210,27,or,1pl,,stimul,5.0,"1pl, or"
Боря или я закончит эту шахматную партию.,2.9,E,211,27,or,3sg,,stimul,3.0,"3sg, or"
Боря или я закончу эту шахматную партию.,3.2,C,209,27,or,1sg,,stimul,3.0,"1sg, or"
Вадим или я соберу этот нужный материал.,2.7,A,65,9,or,1sg,,stimul,3.0,"1sg, or"
Вадим или я соберут этот нужный материал.,2.7,D,68,9,or,3pl,,stimul,3.0,"3pl, or"
Вадим или я соберём этот нужный материал.,5.6,B,66,9,or,1pl,,stimul,6.0,"1pl, or"
Вадим или я соберёт этот нужный материал.,3.2,C,67,9,or,3sg,,stimul,3.0,"3sg, or"
Ваня или я отправим это заказное письмо.,5.2,C,138,18,or,1pl,,stimul,5.0,"1pl, or"
Ваня или я отправит это заказное письмо.,3.6,D,139,18,or,3sg,,stimul,4.0,"3sg, or"
Ваня или я отправлю это заказное письмо.,3.7,B,137,18,or,1sg,,stimul,4.0,"1sg, or"
Ваня или я отправят это заказное письмо.,3.0,E,140,18,or,3pl,,stimul,3.0,"3pl, or"
Вася или я проведу это экстренное совещание.,3.1,A,1,1,or,1sg,,stimul,3.0,"1sg, or"
Вася или я проведут это экстренное совещание.,3.5,D,4,1,or,3pl,,stimul,4.0,"3pl, or"
Вася или я проведём это экстренное совещание.,5.3,B,2,1,or,1pl,,stimul,5.0,"1pl, or"
Вася или я проведёт это экстренное совещание.,2.5,C,3,1,or,3sg,,stimul,2.0,"3sg, or"
Влад или я покрасим этот новый забор.,4.181818181818182,F,162,21,or,1pl,,stimul,4.0,"1pl, or"
Влад или я покрасит этот новый забор.,2.8,G,163,21,or,3sg,,stimul,3.0,"3sg, or"
Влад или я покрасят этот новый забор.,4.1,H,164,21,or,3pl,,stimul,4.0,"3pl, or"
Влад или я покрашу этот новый забор.,3.9,E,161,21,or,1sg,,stimul,4.0,"1sg, or"
Вова или я спою эту весёлую песню.,3.3,C,17,3,or,1sg,,stimul,3.0,"1sg, or"
Вова или я споют эту весёлую песню.,3.1818181818181817,F,20,3,or,3pl,,stimul,3.0,"3pl, or"
Вова или я споём эту весёлую песню.,4.4,D,18,3,or,1pl,,stimul,4.0,"1pl, or"
Вова или я споёт эту весёлую песню.,3.1,E,19,3,or,3sg,,stimul,3.0,"3sg, or"
Гена или я раскроем это подлое преступление.,5.6,H,178,23,or,1pl,,stimul,6.0,"1pl, or"
Гена или я раскроет это подлое преступление.,2.5,A,179,23,or,3sg,,stimul,2.0,"3sg, or"
Гена или я раскрою эту подлое преступление.,3.3,G,177,23,or,1sg,,stimul,3.0,"1sg, or"
Гена или я раскроют это подлое преступление.,3.6,B,180,23,or,3pl,,stimul,4.0,"3pl, or"
Гоша или я начну этот непростой разговор.,4.3,D,217,28,or,1sg,,stimul,4.0,"1sg, or"
Гоша или я начнут этот непростой разговор.,3.1,G,220,28,or,3pl,,stimul,3.0,"3pl, or"
Гоша или я начнём этот непростой разговор.,4.4,E,218,28,or,1pl,,stimul,4.0,"1pl, or"
Гоша или я начнёт этот непростой разговор.,3.090909090909091,F,219,28,or,3sg,,stimul,3.0,"3sg, or"
Гриша или я переведу эту английскую фразу.,2.6,A,193,25,or,1sg,,stimul,3.0,"1sg, or"
Гриша или я переведут эту английскую фразу.,3.3,D,196,25,or,3pl,,stimul,3.0,"3pl, or"
Гриша или я переведём эту английскую фразу.,4.9,B,194,25,or,1pl,,stimul,5.0,"1pl, or"
Гриша или я переведёт эту английскую фразу.,2.555555555555556,C,195,25,or,3sg,,stimul,3.0,"3sg, or"
Дима или я послушаем это голосовое сообщение.,4.4,F,34,5,or,1pl,,stimul,4.0,"1pl, or"
Дима или я послушает это голосовое сообщение.,2.1,G,35,5,or,3sg,,stimul,2.0,"3sg, or"
Дима или я послушаю это голосовое сообщение.,3.4,E,33,5,or,1sg,,stimul,3.0,"1sg, or"
Дима или я послушают это голосовое сообщение.,4.875,H,36,5,or,3pl,,stimul,5.0,"3pl, or"
Егор или я прочитаем эту вводную лекцию.,5.666666666666667,G,42,6,or,1pl,,stimul,6.0,"1pl, or"
Егор или я прочитает эту вводную лекцию.,5.4,H,43,6,or,3sg,,stimul,5.0,"3sg, or"
Егор или я прочитаю эту вводную лекцию.,3.6,F,41,6,or,1sg,,stimul,4.0,"1sg, or"
Егор или я прочитают эту вводную лекцию.,3.9,A,44,6,or,3pl,,stimul,4.0,"3pl, or"
Игорь или я совершат это далёкое путешествие.,4.2,H,100,13,or,3pl,,stimul,4.0,"3pl, or"
Игорь или я совершим это далёкое путешествие.,3.5454545454545454,F,98,13,or,1pl,,stimul,4.0,"1pl, or"
Игорь или я совершит это далёкое путешествие.,3.6,G,99,13,or,3sg,,stimul,4.0,"3sg, or"
Игорь или я совершу это далёкое путешествие.,3.25,E,97,13,or,1sg,,stimul,3.0,"1sg, or"
"Или Андрей, или я увидим этот кукольный спектакль.",4.4,G,14,2,or_or,1pl,,stimul,4.0,"1pl, or_or"
"Или Андрей, или я увидит этот кукольный спектакль.",3.3,H,15,2,or_or,3sg,,stimul,3.0,"3sg, or_or"
"Или Андрей, или я увидят этот кукольный спектакль.",3.2,A,16,2,or_or,3pl,,stimul,3.0,"3pl, or_or"
"Или Андрей, или я увижу этот кукольный спектакль.",2.8181818181818183,F,13,2,or_or,1sg,,stimul,3.0,"1sg, or_or"
"Или Боря, или я закончат эту шахматную партию.",3.6,B,216,27,or_or,3pl,,stimul,4.0,"3pl, or_or"
"Или Боря, или я закончим эту шахматную партию.",5.3,H,214,27,or_or,1pl,,stimul,5.0,"1pl, or_or"
"Или Боря, или я закончит эту шахматную партию.",2.3,A,215,27,or_or,3sg,,stimul,2.0,"3sg, or_or"
"Или Боря, или я закончу эту шахматную партию.",3.4444444444444446,G,213,27,or_or,1sg,,stimul,3.0,"1sg, or_or"
"Или Вадим, или я соберу этот нужный материал.",3.9,E,69,9,or_or,1sg,,stimul,4.0,"1sg, or_or"
"Или Вадим, или я соберут этот нужный материал.",2.9,H,72,9,or_or,3pl,,stimul,3.0,"3pl, or_or"
"Или Вадим, или я соберём этот нужный материал.",3.636363636363636,F,70,9,or_or,1pl,,stimul,4.0,"1pl, or_or"
"Или Вадим, или я соберёт этот нужный материал.",2.4,G,71,9,or_or,3sg,,stimul,2.0,"3sg, or_or"
"Или Ваня, или я отправим это заказное письмо.",5.2,G,142,18,or_or,1pl,,stimul,5.0,"1pl, or_or"
"Или Ваня, или я отправит это заказное письмо.",3.7,H,143,18,or_or,3sg,,stimul,4.0,"3sg, or_or"
"Или Ваня, или я отправлю это заказное письмо.",2.636363636363636,F,141,18,or_or,1sg,,stimul,3.0,"1sg, or_or"
"Или Ваня, или я отправят это заказное письмо.",2.5,A,144,18,or_or,3pl,,stimul,2.0,"3pl, or_or"
